N,detuning,g,kappa,Gamma,omega,Lambda,scale,Tmax,intracavity_photon_number,spin_state,spin_command
4,-6.40000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001411085371529,y,"""qutip.tensor([u,d,u,d])"""
4,-7.800000000000015,3.7,1.0,0.36,10.0,0.1,1.0,60.0,7.778307162399527e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-2.5000000000000338,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.002713336780026,y,"""qutip.tensor([u,d,u,d])"""
4,-3.9000000000000288,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000555713739999,y,"""qutip.tensor([u,d,u,d])"""
4,-4.000000000000028,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0005158340778331,y,"""qutip.tensor([u,d,u,d])"""
4,-2.6000000000000334,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0023783422100463,y,"""qutip.tensor([u,d,u,d])"""
4,-7.700000000000015,3.7,1.0,0.36,10.0,0.1,1.0,60.0,8.086375426813256e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-6.30000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000147618738936,y,"""qutip.tensor([u,d,u,d])"""
4,-11.8,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0007226703238756,y,"""qutip.tensor([u,d,u,d])"""
4,-12.0,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0004890740577294,y,"""qutip.tensor([u,d,u,d])"""
4,-7.900000000000015,3.7,1.0,0.36,10.0,0.1,1.0,60.0,7.504280829553499e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-6.50000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001349361547944,y,"""qutip.tensor([u,d,u,d])"""
4,-5.1000000000000245,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0002628528856882,y,"""qutip.tensor([u,d,u,d])"""
4,-3.800000000000029,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0006008020140155,y,"""qutip.tensor([u,d,u,d])"""
4,-2.400000000000034,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.00302873092442,y,"""qutip.tensor([u,d,u,d])"""
4,-2.3000000000000345,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0032797443489574,y,"""qutip.tensor([u,d,u,d])"""
4,-3.7000000000000295,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0006521412544248,y,"""qutip.tensor([u,d,u,d])"""
4,-5.200000000000024,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0002495251921066,y,"""qutip.tensor([u,d,u,d])"""
4,-6.600000000000019,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001290893401818,y,"""qutip.tensor([u,d,u,d])"""
4,-8.000000000000014,3.7,1.0,0.36,10.0,0.1,1.0,60.0,7.271644217381669e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-11.9,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0005900589553406,y,"""qutip.tensor([u,d,u,d])"""
4,-11.500000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0012340739648618,y,"""qutip.tensor([u,d,u,d])"""
4,-4.200000000000028,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0004485194875125,y,"""qutip.tensor([u,d,u,d])"""
4,-7.600000000000016,3.7,1.0,0.36,10.0,0.1,1.0,60.0,8.417924383252433e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-7.000000000000018,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001085460292562,y,"""qutip.tensor([u,d,u,d])"""
4,-3.300000000000031,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0009521167081178,y,"""qutip.tensor([u,d,u,d])"""
4,-2.700000000000033,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.002062292247541,y,"""qutip.tensor([u,d,u,d])"""
4,-2.8000000000000327,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0017849728581638,y,"""qutip.tensor([u,d,u,d])"""
4,-3.4000000000000306,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0008586087952748,y,"""qutip.tensor([u,d,u,d])"""
4,-6.900000000000018,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001132920667964,y,"""qutip.tensor([u,d,u,d])"""
4,-7.500000000000016,3.7,1.0,0.36,10.0,0.1,1.0,60.0,8.772896935430479e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-4.100000000000028,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0004803243812205,y,"""qutip.tensor([u,d,u,d])"""
4,-11.6,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0010723179243539,y,"""qutip.tensor([u,d,u,d])"""
4,-11.400000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0013291041030276,y,"""qutip.tensor([u,d,u,d])"""
4,-6.700000000000019,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000123546340637,y,"""qutip.tensor([u,d,u,d])"""
4,-7.300000000000017,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.539925956012128e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-3.000000000000032,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.001356712620046,y,"""qutip.tensor([u,d,u,d])"""
4,-3.60000000000003,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0007110374665361,y,"""qutip.tensor([u,d,u,d])"""
4,-3.50000000000003,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0007791572351626,y,"""qutip.tensor([u,d,u,d])"""
4,-2.9000000000000323,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0015509178713592,y,"""qutip.tensor([u,d,u,d])"""
4,-7.400000000000016,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.148400454959348e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-6.8000000000000185,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001182863419404,y,"""qutip.tensor([u,d,u,d])"""
4,-11.300000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.001284464479171,y,"""qutip.tensor([u,d,u,d])"""
4,-0.6000000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0083175560396047,y,"""qutip.tensor([u,d,u,d])"""
4,-0.8,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0085987955104065,y,"""qutip.tensor([u,d,u,d])"""
4,-1.2,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.00925690725962,y,"""qutip.tensor([u,d,u,d])"""
4,-1.0,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0095793245825128,y,"""qutip.tensor([u,d,u,d])"""
4,-0.2000000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.012224629631928,y,"""qutip.tensor([u,d,u,d])"""
4,-0.4000000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.009605585030652,y,"""qutip.tensor([u,d,u,d])"""
4,-9.900000000000007,3.7,1.0,0.36,10.0,0.1,1.0,60.0,7.459017765648607e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-10.000000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,6.780481134899811e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-9.800000000000008,3.7,1.0,0.36,10.0,0.1,1.0,60.0,8.321498863105329e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-9.700000000000008,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.167327218714195e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-9.30000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001012015647072,y,"""qutip.tensor([u,d,u,d])"""
4,-9.40000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001006742364848,y,"""qutip.tensor([u,d,u,d])"""
4,-10.200000000000006,3.7,1.0,0.36,10.0,0.1,1.0,60.0,6.740779883720147e-05,y,"""qutip.tensor([u,d,u,d])"""
